지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
401,서초,2024-05-16 01:00,8,80.2,2.6,.5,1007.3,1011.3,91
401,서초,2024-05-16 02:00,7.6,19.3,2.3,.5,1007.3,1011.3,91
401,서초,2024-05-16 03:00,7.9,198,.7,0,1007.1,1011.1,91
401,서초,2024-05-16 04:00,8.2,34.6,1.4,0,1006.9,1010.9,89
401,서초,2024-05-16 05:00,8.2,276.8,1.9,0,1006.8,1010.8,86
401,서초,2024-05-16 06:00,8.2,202.3,.6,0,1006.9,1010.9,88
401,서초,2024-05-16 07:00,9.5,326.1,1.8,0,1007.1,1011.1,81
401,서초,2024-05-16 08:00,11.2,357.5,2,0,1007,1011,66
401,서초,2024-05-16 09:00,14,313.9,1.3,0,1006.7,1010.6,56
401,서초,2024-05-16 10:00,15.2,11,2.3,0,1006.5,1010.4,54
401,서초,2024-05-16 11:00,15.9,294.2,3.5,0,1006,1009.9,45
401,서초,2024-05-16 12:00,18.1,231.4,3.3,0,1005.1,1009,40
401,서초,2024-05-16 13:00,18.9,217.1,2.5,0,1004.2,1008,34
401,서초,2024-05-16 14:00,19,213.1,2.8,0,1003.9,1007.7,33
401,서초,2024-05-16 15:00,19.5,255.2,2.6,0,1003.7,1007.5,33
401,서초,2024-05-16 16:00,20,236.8,1.7,0,1003.6,1007.4,30
401,서초,2024-05-16 17:00,19.5,36.9,1.7,0,1003.6,1007.4,30
401,서초,2024-05-16 18:00,19.1,231,1,0,1004,1007.8,30
401,서초,2024-05-16 19:00,16.9,230.3,1.1,0,1004.6,1008.5,34
401,서초,2024-05-16 20:00,15.6,249.3,.6,0,1005.3,1009.2,43
401,서초,2024-05-16 21:00,14,182.2,1,0,1006,1009.9,56
401,서초,2024-05-16 22:00,13.9,198.6,1,0,1006.7,1010.6,57
401,서초,2024-05-16 23:00,14,221.3,.6,0,1006.6,1010.5,64
401,서초,2024-05-17 00:00,11.7,0,.1,0,1007.1,1011.1,77
401,서초,2024-05-17 01:00,11.1,181.1,.8,0,1007.5,1011.5,85
401,서초,2024-05-17 02:00,10.7,185.1,1.1,0,1007.8,1011.8,89
401,서초,2024-05-17 03:00,10.3,206.3,1.7,0,1008.1,1012.1,90
401,서초,2024-05-17 04:00,10.2,206.7,1.1,0,1008.5,1012.5,91
401,서초,2024-05-17 05:00,10.6,208.2,1,0,1008.8,1012.8,92
401,서초,2024-05-17 06:00,11.8,190.9,1.3,0,1009.4,1013.4,89
401,서초,2024-05-17 07:00,13.7,141,1.7,0,1009.8,1013.7,80
401,서초,2024-05-17 08:00,16.3,139.5,1.8,0,1010,1013.9,72
401,서초,2024-05-17 09:00,17.9,168.5,1.8,0,1010.2,1014.1,62
401,서초,2024-05-17 10:00,20.2,177.5,2.3,0,1010.1,1014,57
401,서초,2024-05-17 11:00,22.1,168.9,.9,0,1009.9,1013.7,51
401,서초,2024-05-17 12:00,23.5,161.8,2.1,0,1009.5,1013.3,49
401,서초,2024-05-17 13:00,25.3,179.5,2,0,1009,1012.8,40
401,서초,2024-05-17 14:00,25.5,180,2.8,0,1008.8,1012.6,36
401,서초,2024-05-17 15:00,25.3,195.2,2.4,0,1008.8,1012.6,42
401,서초,2024-05-17 16:00,24.1,212.2,1.7,0,1008.9,1012.7,44
401,서초,2024-05-17 17:00,24.5,221.5,2.1,0,1008.8,1012.6,37
401,서초,2024-05-17 18:00,23.1,226,1.4,0,1008.9,1012.7,44
401,서초,2024-05-17 19:00,22.1,244.4,1,0,1009.6,1013.4,48
401,서초,2024-05-17 20:00,20.3,235.5,.8,0,1010.2,1014.1,53
401,서초,2024-05-17 21:00,19.1,259.2,.5,0,1011.2,1015.1,55
401,서초,2024-05-17 22:00,18.8,211.1,.8,0,1012,1015.9,56
401,서초,2024-05-17 23:00,17.6,187.4,.8,0,1012.3,1016.2,64
401,서초,2024-05-18 00:00,16.1,197.5,.5,0,1012.4,1016.3,70
401,서초,2024-05-18 01:00,15,191.3,1.1,0,1012.4,1016.4,77
401,서초,2024-05-18 02:00,14.1,183.9,.8,0,1012.7,1016.6,82
401,서초,2024-05-18 03:00,14,181.3,.7,0,1012.4,1016.3,82
401,서초,2024-05-18 04:00,13.3,192.5,1.4,0,1012.9,1016.9,84
401,서초,2024-05-18 05:00,13.6,195.8,1.2,0,1013.2,1017.2,82
401,서초,2024-05-18 06:00,14.3,193.7,1,0,1013.5,1017.4,78
401,서초,2024-05-18 07:00,16.2,195.9,1,0,1014.2,1018.1,73
401,서초,2024-05-18 08:00,19.3,167.7,1.5,0,1014.2,1018.1,63
401,서초,2024-05-18 09:00,21.3,186.7,1.3,0,1014.1,1018,61
401,서초,2024-05-18 10:00,22,189.4,1.9,0,1013.9,1017.7,60
401,서초,2024-05-18 11:00,24.4,217.7,1.9,0,1013.8,1017.6,53
401,서초,2024-05-18 12:00,24.8,311.3,1.6,0,1013,1016.8,52
401,서초,2024-05-18 13:00,25.4,185.4,2.4,0,1012.2,1016,50
401,서초,2024-05-18 14:00,25.8,178.7,2.3,0,1011.6,1015.4,45
401,서초,2024-05-18 15:00,26.3,251.9,1.4,0,1011,1014.8,42
401,서초,2024-05-18 16:00,26.3,312.8,1.9,0,1010.6,1014.4,46
401,서초,2024-05-18 17:00,25.7,261.8,1.6,0,1010.7,1014.5,47
401,서초,2024-05-18 18:00,24.2,275.7,1.8,0,1011.1,1014.9,54
401,서초,2024-05-18 19:00,22.6,243.8,1.4,0,1011.5,1015.3,59
401,서초,2024-05-18 20:00,21.3,243.2,.9,0,1012.1,1015.9,64
401,서초,2024-05-18 21:00,20.9,261,.6,0,1013,1016.9,66
401,서초,2024-05-18 22:00,19.9,0,.4,0,1013.3,1017.1,69
401,서초,2024-05-18 23:00,18.1,175.6,.9,0,1013.6,1017.5,78
401,서초,2024-05-19 00:00,16.8,172.7,1.1,0,1013.4,1017.3,83
401,서초,2024-05-19 01:00,16.1,184.9,1.2,0,1013.2,1017.1,87
401,서초,2024-05-19 02:00,15.6,198.1,.8,0,1012.7,1016.6,89
401,서초,2024-05-19 03:00,15.3,196.2,1.3,0,1012.5,1016.4,90
401,서초,2024-05-19 04:00,14.8,211.5,.7,0,1012.4,1016.3,92
401,서초,2024-05-19 05:00,14.7,197.8,.7,0,1012.4,1016.3,93
401,서초,2024-05-19 06:00,15,201.6,1,0,1012.4,1016.4,91
401,서초,2024-05-19 07:00,17.6,173.4,.8,0,1012.6,1016.5,84
401,서초,2024-05-19 08:00,19.9,188.5,1.1,0,1012.4,1016.2,73
401,서초,2024-05-19 09:00,21.5,55.9,.8,0,1012.3,1016.1,65
401,서초,2024-05-19 10:00,23.7,169.5,1,0,1011.8,1015.6,53
401,서초,2024-05-19 11:00,24.3,356.3,1.5,0,1011.5,1015.3,46
401,서초,2024-05-19 12:00,26.2,182.7,1.3,0,1011,1014.8,49
401,서초,2024-05-19 13:00,27.2,194.4,1,0,1010.1,1013.9,42
401,서초,2024-05-19 14:00,27.4,353.4,2.4,0,1009.4,1013.1,41
401,서초,2024-05-19 15:00,27.1,346.9,2.4,0,1008.8,1012.6,42
401,서초,2024-05-19 16:00,26.9,248.6,2.1,0,1008.9,1012.7,36
401,서초,2024-05-19 17:00,26.6,252.6,1.7,0,1009,1012.8,26
401,서초,2024-05-19 18:00,25.6,226.8,1.2,0,1008.6,1012.4,32
401,서초,2024-05-19 19:00,23.7,233.4,1.3,0,1009,1012.8,33
401,서초,2024-05-19 20:00,22.1,305.3,.9,0,1009.9,1013.7,45
401,서초,2024-05-19 21:00,21.4,275.3,3.6,0,1011.3,1015.1,53
401,서초,2024-05-19 22:00,20,306.1,1.6,0,1011,1014.9,65
401,서초,2024-05-19 23:00,18.4,175.5,1.1,0,1010.6,1014.5,71
401,서초,2024-05-20 00:00,17.6,180.2,1.1,0,1009.9,1013.8,75
401,서초,2024-05-20 01:00,16.5,188.9,1.3,0,1009.1,1013,80
401,서초,2024-05-20 02:00,16.4,183.5,.8,0,1009,1012.9,80
401,서초,2024-05-20 03:00,16.4,0,.4,0,1009.5,1013.4,81
401,서초,2024-05-20 04:00,17.8,240.8,.6,0,1009.7,1013.6,74
401,서초,2024-05-20 05:00,18.2,0,.2,0,1010.2,1014.1,73
401,서초,2024-05-20 06:00,19,218,.8,0,1010.6,1014.5,68
401,서초,2024-05-20 07:00,18.8,223.2,1.2,0,1011.4,1015.3,69
401,서초,2024-05-20 08:00,19.6,199.7,1.1,0,1011.8,1015.6,68
401,서초,2024-05-20 09:00,20.8,219.5,1.1,0,1011.9,1015.8,67
401,서초,2024-05-20 10:00,21.6,296.5,2.2,0,1011.7,1015.5,65
401,서초,2024-05-20 11:00,22.7,232.9,2.1,0,1011.2,1015,60
401,서초,2024-05-20 12:00,23.5,220.8,1.3,0,1011,1014.8,63
401,서초,2024-05-20 13:00,23.3,226,1.8,0,1010.8,1014.6,60
401,서초,2024-05-20 14:00,23.3,235.2,1.5,0,1010.4,1014.2,62
401,서초,2024-05-20 15:00,22,225.5,2,0,1010.3,1014.1,68
401,서초,2024-05-20 16:00,22.6,231.9,2,0,1010.3,1014.1,66
401,서초,2024-05-20 17:00,21.2,228.3,2.3,0,1010.8,1014.6,68
401,서초,2024-05-20 18:00,21.4,262.3,1.6,0,1011,1014.8,67
401,서초,2024-05-20 19:00,20.8,227.3,1.4,0,1011.3,1015.2,70
401,서초,2024-05-20 20:00,20.2,250.2,1.3,0,1011.9,1015.8,72
401,서초,2024-05-20 21:00,19.6,245.1,1,0,1012.7,1016.5,74
401,서초,2024-05-20 22:00,18.5,223.5,.8,0,1013.3,1017.2,79
401,서초,2024-05-20 23:00,17.9,238.8,.7,0,1013.7,1017.6,81
401,서초,2024-05-21 00:00,17.6,262.1,.7,0,1013.7,1017.6,83
401,서초,2024-05-21 01:00,16.9,233.5,.8,0,1013.7,1017.6,86
401,서초,2024-05-21 02:00,17.1,212.4,.7,0,1013.7,1017.6,86
401,서초,2024-05-21 03:00,17.3,220.9,.5,0,1013.7,1017.6,85
401,서초,2024-05-21 04:00,17.3,197.2,.8,0,1013.7,1017.6,85
401,서초,2024-05-21 05:00,16.6,175.1,1.1,0,1013.9,1017.8,89
401,서초,2024-05-21 06:00,17.6,188.9,1.1,0,1014.6,1018.5,85
401,서초,2024-05-21 07:00,18.2,167.9,.9,0,1015.3,1019.2,83
401,서초,2024-05-21 08:00,20.1,96.5,.9,0,1015.6,1019.5,72
401,서초,2024-05-21 09:00,21,201.5,1.5,0,1015.6,1019.5,69
401,서초,2024-05-21 10:00,21.8,193.2,2,0,1015.6,1019.4,61
401,서초,2024-05-21 11:00,23.2,202.9,1.5,0,1015.4,1019.2,59
401,서초,2024-05-21 12:00,24.5,223,1.8,0,1015,1018.8,51
401,서초,2024-05-21 13:00,25.5,158.9,2,0,1014.2,1018,49
401,서초,2024-05-21 14:00,26.6,190.5,1.5,0,1013.4,1017.2,46
401,서초,2024-05-21 15:00,27.5,201.2,1.6,0,1012.9,1016.7,40
401,서초,2024-05-21 16:00,27.6,199.4,1.5,0,1012.1,1015.9,39
401,서초,2024-05-21 17:00,27.5,191,1.3,0,1011.9,1015.7,35
401,서초,2024-05-21 18:00,26.2,335.6,1.8,0,1012,1015.8,51
401,서초,2024-05-21 19:00,24,317.5,3.1,0,1012.5,1016.3,60
401,서초,2024-05-21 20:00,22.9,330.2,2.4,0,1013,1016.8,64
401,서초,2024-05-21 21:00,22.6,0,.4,0,1014,1017.8,67
401,서초,2024-05-21 22:00,21.7,229.6,.7,0,1014.5,1018.3,68
401,서초,2024-05-21 23:00,20.1,227.5,.6,0,1014.4,1018.3,74
401,서초,2024-05-22 00:00,19.4,205,.6,0,1014.4,1018.3,77
404,강서,2024-05-16 01:00,8.1,347.5,2.6,0,1011,1012.1,88
404,강서,2024-05-16 02:00,8.1,3.8,1.9,0,1010.7,1011.8,84
404,강서,2024-05-16 03:00,8.1,292.4,.8,0,1010.6,1011.7,90
404,강서,2024-05-16 04:00,8.3,300.7,.6,0,1010.5,1011.6,90
404,강서,2024-05-16 05:00,8,284.5,1.4,0,1010.2,1011.3,87
404,강서,2024-05-16 06:00,8,279.4,1.3,0,1010.2,1011.3,87
404,강서,2024-05-16 07:00,9.4,329.2,1.6,0,1010.3,1011.4,78
404,강서,2024-05-16 08:00,10.7,357.4,1.1,0,1010.3,1011.4,73
404,강서,2024-05-16 09:00,13.2,327.4,1.1,0,1010.2,1011.3,65
404,강서,2024-05-16 10:00,16.2,323,3.1,0,1010,1011.1,50
404,강서,2024-05-16 11:00,17.3,327.1,2.5,0,1009.3,1010.4,45
404,강서,2024-05-16 12:00,18.9,301.8,3.1,0,1008.7,1009.8,36
404,강서,2024-05-16 13:00,19.5,251.6,3,0,1008,1009.1,39
404,강서,2024-05-16 14:00,19.8,285.1,3.6,0,1007.5,1008.6,34
404,강서,2024-05-16 15:00,19.5,246.7,3.2,0,1007.1,1008.2,36
404,강서,2024-05-16 16:00,20.5,256.7,2.5,0,1007,1008.1,33
404,강서,2024-05-16 17:00,19.4,258.3,2.8,0,1007.1,1008.2,29
404,강서,2024-05-16 18:00,18.4,244.8,2.9,0,1007.4,1008.5,28
404,강서,2024-05-16 19:00,17.3,226.6,1.8,0,1007.9,1009,37
404,강서,2024-05-16 20:00,15.9,219.7,.7,0,1008.7,1009.8,50
404,강서,2024-05-16 21:00,15.5,184.7,1,0,1009.3,1010.4,49
404,강서,2024-05-16 22:00,14.8,155.3,1.2,0,1009.9,1011,58
404,강서,2024-05-16 23:00,14.1,158.2,1.3,0,1009.9,1011,67
404,강서,2024-05-17 00:00,13.6,157.6,1.5,0,1010.1,1011.2,74
404,강서,2024-05-17 01:00,13.2,167.7,1.3,0,1010.6,1011.7,79
404,강서,2024-05-17 02:00,13,162.3,1.3,0,1010.9,1012,83
404,강서,2024-05-17 03:00,12.7,151.8,1.2,0,1011,1012.1,85
404,강서,2024-05-17 04:00,12.7,161.9,1.6,0,1011.4,1012.5,88
404,강서,2024-05-17 05:00,12.4,152.3,1,0,1011.5,1012.6,87
404,강서,2024-05-17 06:00,13.7,158.8,2,0,1012.2,1013.3,83
404,강서,2024-05-17 07:00,14.5,135.1,1.1,0,1012.6,1013.7,80
404,강서,2024-05-17 08:00,16.5,129.7,1.3,0,1013,1014.1,73
404,강서,2024-05-17 09:00,18,156.3,2.1,0,1013.3,1014.4,64
404,강서,2024-05-17 10:00,19.7,167,1.9,0,1013.4,1014.5,62
404,강서,2024-05-17 11:00,21.5,245,1.1,0,1013.4,1014.5,55
404,강서,2024-05-17 12:00,22.8,157,1.1,0,1013,1014.1,50
404,강서,2024-05-17 13:00,25.1,232.1,2.3,0,1012.6,1013.7,40
404,강서,2024-05-17 14:00,24.7,219.7,2.5,0,1012.4,1013.5,40
404,강서,2024-05-17 15:00,23.5,236.9,2.6,0,1012.4,1013.5,52
404,강서,2024-05-17 16:00,23.6,229,2.4,0,1012.3,1013.4,47
404,강서,2024-05-17 17:00,23.7,223,2,0,1012.2,1013.3,45
404,강서,2024-05-17 18:00,23,187.5,1.8,0,1012.4,1013.5,48
404,강서,2024-05-17 19:00,21.7,217.9,1.3,0,1012.9,1014,54
404,강서,2024-05-17 20:00,20.5,214.5,1.3,0,1013.5,1014.6,57
404,강서,2024-05-17 21:00,19.2,0,.2,0,1014.5,1015.6,57
404,강서,2024-05-17 22:00,19.2,198.1,1.5,0,1015.2,1016.3,59
404,강서,2024-05-17 23:00,18.1,166.6,.9,0,1015.5,1016.6,66
404,강서,2024-05-18 00:00,16.4,0,.4,0,1015.7,1016.8,76
404,강서,2024-05-18 01:00,15.4,137.6,.5,0,1015.5,1016.6,84
404,강서,2024-05-18 02:00,15.1,0,.1,0,1015.7,1016.8,88
404,강서,2024-05-18 03:00,17.4,0,.3,0,1015.5,1016.6,73
404,강서,2024-05-18 04:00,16.8,0,0,0,1015.8,1016.9,79
404,강서,2024-05-18 05:00,17,0,.3,0,1016,1017.1,76
404,강서,2024-05-18 06:00,16.2,0,0,0,1016.4,1017.5,79
404,강서,2024-05-18 07:00,18.3,135.1,.6,0,1017,1018.1,69
404,강서,2024-05-18 08:00,20.5,136.4,1.2,0,1017.1,1018.2,63
404,강서,2024-05-18 09:00,21.6,175.3,2.1,0,1017.3,1018.4,63
