,Unnamed: 0,fire_weather.tm,fire_weather.district_1,fire_weather.district_2,fire_weather.stn,fire_weather.ta_max,fire_weather.ta_min,fire_weather.ta_max_min,fire_weather.rn_day,fire_weather.ws_max,fire_weather.ws_ins_max,fire_weather.ws_mean,fire_weather.ws_min,fire_weather.hm_max,fire_weather.hm_mean,fire_weather.hm_min
405360,414161,2018-01-17,경상북도,경주시,811,7.7,-1.0,8.7,,3.4,5.6,1.3,0.1,99.7,94.5,81.6
405361,414162,2018-01-18,경상북도,경주시,811,9.3,-1.1,10.4,,4.1,8.8,1.5,0.3,99.7,68.0,44.4
405362,414163,2018-01-19,경상북도,경주시,811,9.7,-4.3,14.0,,3.7,6.2,1.1,0.3,95.1,60.1,24.2
405363,414164,2018-01-20,경상북도,경주시,811,8.8,-5.0,13.8,,3.3,7.3,1.2,0.2,88.3,59.3,37.5
405364,414165,2018-01-21,경상북도,경주시,811,9.9,-5.0,14.9,,2.3,4.3,0.8,0.3,95.9,64.1,23.5
405365,414166,2018-01-22,경상북도,경주시,811,8.9,-0.1,9.0,,4.9,10.1,1.3,0.0,78.1,62.4,40.7
405366,414167,2018-01-23,경상북도,경주시,811,5.3,-7.6,12.9,,10.1,17.2,5.6,3.0,66.4,38.3,20.2
405367,414168,2018-01-24,경상북도,경주시,811,-4.0,-11.8,7.8,,8.1,17.1,5.2,2.7,45.5,30.0,20.4
405368,414169,2018-01-25,경상북도,경주시,811,-2.8,-13.7,10.9,,6.9,11.0,3.4,0.5,47.4,30.7,20.6
405369,414170,2018-01-26,경상북도,경주시,811,-2.8,-12.8,10.0,,7.1,11.6,4.2,1.8,40.4,30.9,19.2
405370,414171,2018-01-27,경상북도,경주시,811,4.2,-14.8,19.0,,3.7,6.4,1.3,0.3,67.3,36.9,12.4
405371,414172,2018-01-28,경상북도,경주시,811,4.3,-4.4,8.7,,6.9,12.0,3.0,0.1,50.2,33.6,21.7
405372,414173,2018-01-29,경상북도,경주시,811,0.5,-6.7,7.2,,8.2,13.9,4.6,1.1,50.1,33.0,24.1
405373,414174,2018-01-30,경상북도,경주시,811,2.4,-8.7,11.1,,8.4,14.3,3.5,0.3,66.8,42.2,24.1
405374,414175,2018-01-31,경상북도,경주시,811,6.6,-10.3,16.9,,4.0,10.9,1.1,0.3,81.4,52.6,31.8
405375,414176,2018-02-01,경상북도,경주시,811,7.1,-7.1,14.2,,4.1,5.8,1.4,0.1,55.4,34.9,17.0
405376,414177,2018-02-02,경상북도,경주시,811,5.7,-8.9,14.6,,3.8,6.5,1.1,0.1,74.4,43.9,18.1
405377,414178,2018-02-03,경상북도,경주시,811,1.8,-8.3,10.1,,8.1,13.7,3.1,0.0,65.8,41.4,20.0
405378,414179,2018-02-04,경상북도,경주시,811,-1.1,-8.5,7.4,,9.5,16.4,5.4,3.3,46.7,33.0,21.6
405379,414180,2018-02-05,경상북도,경주시,811,-0.7,-8.5,7.8,,8.7,15.1,5.4,2.6,43.9,31.4,19.5
405380,414181,2018-02-06,경상북도,경주시,811,-1.6,-10.0,8.4,,6.7,12.8,4.6,2.7,51.1,34.2,19.9
405381,414182,2018-02-07,경상북도,경주시,811,1.5,-10.6,12.1,,6.2,10.1,2.5,0.5,53.8,32.7,16.0
405382,414183,2018-02-08,경상북도,경주시,811,6.4,-12.0,18.4,,4.4,8.0,1.2,0.1,62.3,36.7,16.2
405384,414185,2018-02-10,경상북도,경주시,811,10.2,-1.4,11.6,,6.5,12.5,2.5,0.3,70.9,46.1,13.6
405385,414186,2018-02-11,경상북도,경주시,811,2.3,-5.9,8.2,,8.9,16.7,4.1,1.1,50.7,35.2,22.2
405386,414187,2018-02-12,경상북도,경주시,811,4.1,-6.3,10.4,,7.2,13.3,3.9,1.7,79.7,50.2,30.0
405387,414188,2018-02-13,경상북도,경주시,811,7.1,-6.1,13.2,,5.1,10.8,1.8,0.2,81.3,47.0,16.6
405388,414189,2018-02-14,경상북도,경주시,811,15.3,-8.6,23.9,,7.7,13.7,2.9,0.2,82.9,53.2,33.0
405389,414190,2018-02-15,경상북도,경주시,811,11.4,-3.7,15.1,,4.5,8.0,2.1,0.9,85.4,43.9,10.9
405390,414191,2018-02-16,경상북도,경주시,811,10.7,-6.4,17.1,,7.2,11.5,1.9,0.1,94.7,46.1,11.2
405391,414192,2018-02-17,경상북도,경주시,811,7.8,-1.8,9.6,,8.4,17.7,3.8,1.8,40.1,21.3,9.6
405392,414193,2018-02-18,경상북도,경주시,811,8.3,-3.4,11.7,,3.7,6.6,1.4,0.1,51.4,26.1,12.9
405394,414195,2018-02-20,경상북도,경주시,811,11.5,-6.4,17.9,,4.6,8.6,1.7,0.1,89.3,49.6,20.2
405395,414196,2018-02-21,경상북도,경주시,811,6.6,-5.8,12.4,,5.0,8.7,2.0,0.0,73.9,32.5,14.9
405396,414197,2018-02-22,경상북도,경주시,811,9.1,-8.4,17.5,,4.8,8.4,1.6,0.2,86.5,45.9,16.2
405397,414198,2018-02-23,경상북도,경주시,811,12.9,-7.4,20.3,,5.2,8.3,1.4,0.1,78.2,54.2,21.4
405398,414199,2018-02-24,경상북도,경주시,811,12.0,-2.8,14.8,,4.9,8.3,1.9,0.1,79.9,64.0,36.2
405399,414200,2018-02-25,경상북도,경주시,811,12.2,-1.8,14.0,,3.1,5.7,0.9,0.1,90.8,72.1,34.9
405400,414201,2018-02-26,경상북도,경주시,811,11.3,-4.7,16.0,,4.7,7.5,1.6,0.0,93.8,70.4,39.5
405401,414202,2018-02-27,경상북도,경주시,811,15.6,-5.1,20.7,,4.5,9.2,1.1,0.0,96.7,61.1,18.4
405402,414203,2018-02-28,경상북도,경주시,811,11.5,4.8,6.7,,4.7,9.5,1.9,0.3,96.7,82.9,60.4
405404,414205,2018-03-02,경상북도,경주시,811,13.3,-2.8,16.1,,6.1,10.4,2.1,0.7,76.0,43.7,13.9
405405,414206,2018-03-03,경상북도,경주시,811,19.1,-2.8,21.9,,4.2,6.4,1.3,0.2,89.0,63.2,27.2
405406,414207,2018-03-04,경상북도,경주시,811,20.2,1.7,18.5,,5.4,9.3,1.4,0.2,96.4,76.5,46.7
405407,414208,2018-03-05,경상북도,경주시,811,9.8,3.0,6.8,,8.4,16.3,4.9,2.1,96.8,87.1,68.2
405408,414209,2018-03-06,경상북도,경주시,811,9.4,2.2,7.2,,4.5,7.7,1.8,0.1,83.9,64.6,49.1
405409,414210,2018-03-07,경상북도,경주시,811,8.0,4.0,4.0,,4.4,7.3,2.0,1.0,94.4,70.0,61.5
405410,414211,2018-03-08,경상북도,경주시,811,4.0,0.4,3.6,,3.2,7.2,1.4,0.2,99.0,95.6,87.9
405411,414212,2018-03-09,경상북도,경주시,811,5.4,-1.4,6.8,,4.4,8.0,1.7,0.2,98.6,83.5,67.4
405412,414213,2018-03-10,경상북도,경주시,811,14.0,-2.3,16.3,,3.9,7.3,1.0,0.0,99.6,75.9,36.6
405413,414214,2018-03-11,경상북도,경주시,811,15.7,1.3,14.4,,5.5,10.9,1.9,0.5,84.6,53.4,29.1
405414,414215,2018-03-12,경상북도,경주시,811,20.7,-2.4,23.1,,5.0,8.1,1.5,0.0,98.7,63.6,20.0
405415,414216,2018-03-13,경상북도,경주시,811,22.4,0.0,22.4,,4.9,9.3,2.1,0.3,98.4,63.7,29.6
405416,414217,2018-03-14,경상북도,경주시,811,24.9,4.5,20.4,,4.6,8.0,1.8,0.4,96.7,62.2,28.4
405417,414218,2018-03-15,경상북도,경주시,811,16.7,6.2,10.5,,8.1,13.4,2.2,0.2,97.1,86.3,62.5
405418,414219,2018-03-16,경상북도,경주시,811,6.4,2.9,3.5,,7.6,15.0,4.5,1.4,88.7,65.6,51.4
405419,414220,2018-03-17,경상북도,경주시,811,14.1,-2.4,16.5,,4.1,6.5,1.6,0.0,93.6,64.6,33.9
405420,414221,2018-03-18,경상북도,경주시,811,18.4,-2.1,20.5,,3.2,5.3,1.1,0.1,98.7,74.4,35.8
405421,414222,2018-03-19,경상북도,경주시,811,10.7,4.3,6.4,,7.9,17.2,3.6,0.4,99.6,93.9,86.7
405422,414223,2018-03-20,경상북도,경주시,811,6.4,3.9,2.5,,9.2,17.0,5.5,2.7,79.9,62.3,54.3
405423,414224,2018-03-21,경상북도,경주시,811,4.0,0.7,3.3,,6.3,13.0,3.9,2.1,96.6,90.6,66.5
405424,414225,2018-03-22,경상북도,경주시,811,12.9,0.1,12.8,,4.9,8.0,2.3,0.5,96.1,66.5,22.3
405425,414226,2018-03-23,경상북도,경주시,811,16.5,-1.5,18.0,,3.8,6.8,1.3,0.5,97.9,65.6,19.0
405426,414227,2018-03-24,경상북도,경주시,811,17.8,0.9,16.9,,5.7,12.5,2.2,0.4,92.3,54.4,28.5
405427,414228,2018-03-25,경상북도,경주시,811,21.8,2.9,18.9,,5.1,9.3,2.0,0.3,89.8,45.8,18.7
405428,414229,2018-03-26,경상북도,경주시,811,23.2,3.5,19.7,,5.1,11.3,1.8,0.5,78.9,42.6,20.0
405429,414230,2018-03-27,경상북도,경주시,811,23.7,3.2,20.5,,5.1,10.3,2.0,0.4,91.5,54.8,27.9
405430,414231,2018-03-28,경상북도,경주시,811,25.4,4.4,21.0,,5.2,9.3,1.7,0.1,97.0,53.8,15.4
405431,414232,2018-03-29,경상북도,경주시,811,20.2,8.9,11.3,,6.0,10.9,2.4,0.2,78.7,64.7,45.1
405636,414437,2018-10-20,경상북도,경주시,811,20.5,2.6,17.9,,2.8,5.9,1.0,0.1,100.0,75.8,25.8
405775,414576,2019-03-08,경상북도,경주시,811,17.7,-3.0,20.7,,4.2,6.9,1.3,0.0,99.0,72.0,18.1
405776,414577,2019-03-09,경상북도,경주시,811,19.5,-2.0,21.5,,5.2,9.1,1.2,0.1,98.4,61.0,12.8
405856,414657,2019-05-28,경상북도,경주시,811,24.4,12.3,12.1,,5.8,10.3,2.6,0.6,82.4,55.1,31.6
405867,414668,2019-06-08,경상북도,경주시,811,24.3,15.7,8.6,,4.0,7.4,2.0,0.4,97.1,76.2,57.2
