지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
283,경주시,2018-01-01 00:00,.1,0,,,2.6,,320,,39,0,2.4,-12.2,1019.9,0,1024.7,0,,9,,9,,,,,,,2457,,,-1.9,0,.6,1.5,2.8,3.5
283,경주시,2018-01-01 01:00,.3,0,,,3.6,0,290,0,40,0,2.5,-11.7,1019.3,0,1024.1,0,,9,,9,,,,,,,2489,,,-2.1,0,.4,1.3,2.6,3.4
283,경주시,2018-01-01 02:00,.4,0,,,4.3,0,340,0,40,0,2.5,-11.6,1019.4,0,1024.2,0,,9,,9,,,,,,,2520,,,-2.2,0,.3,1.2,2.5,3.4
283,경주시,2018-01-01 03:00,.2,0,,,4.2,0,340,0,42,0,2.6,-11.2,1019.8,0,1024.6,0,,9,,9,,,,,,,2571,,,-2.3,0,.1,1.1,2.3,3.3
283,경주시,2018-01-01 04:00,-.2,0,,,3.8,0,290,0,44,0,2.6,-11,1020.3,0,1025.1,0,,9,,9,,,,,,,2590,,,-2.4,0,0,1,2.3,3.3
283,경주시,2018-01-01 05:00,-.2,0,,,7.8,0,290,0,41,0,2.5,-11.8,1019.8,0,1024.6,0,,9,,9,,,,,,,2516,,,-2.4,0,-.1,.9,2.1,3.2
283,경주시,2018-01-01 06:00,-.3,0,,,5.9,0,290,0,38,0,2.3,-12.9,1020.4,0,1025.2,0,,9,,9,,,,,,,2471,,,-2.6,0,-.2,.7,2,3.2
283,경주시,2018-01-01 07:00,-.9,0,,,3,0,320,0,39,0,2.2,-13.1,1021,0,1025.8,0,,9,,9,,,,,,,2399,,,-3,0,-.2,.7,2,3.1
283,경주시,2018-01-01 08:00,-1.1,0,,,3.3,0,320,0,39,0,2.2,-13.3,1021.4,0,1026.2,0,0,0,.02,0,,,,,,,2377,,,-2.9,0,-.2,.6,2,3.2
283,경주시,2018-01-01 09:00,.4,0,,,4,0,320,0,36,0,2.3,-12.9,1022.1,0,1026.9,0,.8,0,.21,0,,,,,,,2362,,,-1.9,0,-.2,.5,1.9,3.1
283,경주시,2018-01-01 10:00,1.5,0,,,3.9,0,340,0,34,0,2.3,-12.6,1022.8,0,1027.6,0,1,0,.6,0,,,,,,,2400,,,-.1,0,-.1,.6,1.8,3.1
283,경주시,2018-01-01 11:00,2.8,0,,,4.4,0,340,0,28,0,2.1,-13.9,1022.7,0,1027.5,0,1,0,.92,0,,,,,,,2592,,,1.7,0,.2,.6,1.8,3
283,경주시,2018-01-01 12:00,3.6,0,,,4.4,0,320,0,22,0,1.7,-16.1,1022.1,0,1026.8,0,1,0,1.12,0,,,,,,,2859,,,3,0,.4,.7,1.7,3
283,경주시,2018-01-01 13:00,4.3,0,,,4.9,0,320,0,21,0,1.7,-16.1,1021.5,0,1026.2,0,1,0,1.19,0,,,,,,,2999,,,3.8,0,.5,.7,1.7,3
